1CH 1:1	Adam, Seth, Enosh,
DEU 12:30	be careful that you are not ensnared to follow them, after that they are destroyed from before you; and that you not inquire after their gods, saying, “How do these nations serve their gods? I will do likewise.”
DEU 12:31	You shall not do so to Yahweh your God; for every abomination to Yahweh, which he hates, they have done to their gods; for they even burn their sons and their daughters in the fire to their gods.
DEU 12:32	Whatever thing I command you, that you shall observe to do. You shall not add to it, nor take away from it.
DEU 13:1	If a prophet or a dreamer of dreams arises among you, and he gives you a sign or a wonder,
DEU 13:2	and the sign or the wonder comes to pass, of which he spoke to you, saying, “Let us go after other gods” (which you have not known) “and let us serve them”;
DEU 13:3	you shall not listen to the words of that prophet, or to that dreamer of dreams; for Yahweh your God is testing you, to know whether you love Yahweh your God with all your heart and with all your soul.
DEU 13:4	You shall walk after Yahweh your God, fear him, keep his commandments, and obey his voice, and you shall serve him, and cling to him.
DEU 13:5	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against Yahweh your God, who brought you out of the land of Egypt, and redeemed you out of the house of bondage, to draw you aside out of the way which Yahweh your God commanded you to walk in. So you shall remove the evil from among you.
DEU 13:6	If your brother, the son of your mother, or your son, or your daughter, or the wife of your bosom, or your friend, who is as your own soul, entices you secretly, saying, “Let us go and serve other gods,” which you have not known, you, nor your fathers;
DEU 13:7	of the gods of the peoples who are around you, near to you, or far off from you, from the one end of the earth even to the other end of the earth;
DEU 13:8	you shall not consent to him, nor listen to him; neither shall your eye pity him, neither shall you spare, neither shall you conceal him;
DEU 13:9	but you shall surely kill him. Your hand shall be first on him to put him to death, and afterwards the hands of all the people.
DEU 13:10	You shall stone him to death with stones, because he has sought to draw you away from Yahweh your God, who brought you out of the land of Egypt, out of the house of bondage.
DEU 13:11	All Israel shall hear, and fear, and shall not do any more wickedness like this among you.
DEU 13:12	If you shall hear about one of your cities, which Yahweh your God gives you to dwell there, that
DEU 13:13	certain wicked fellows have gone out from among you, and have drawn away the inhabitants of their city, saying, “Let us go and serve other gods,” which you have not known;
DEU 13:14	then you shall inquire, and make search, and ask diligently. Behold, if it is true, and the thing certain, that such abomination was done among you,
DEU 13:15	you shall surely strike the inhabitants of that city with the edge of the sword, destroying it utterly, with all that is therein and its livestock, with the edge of the sword.
DEU 13:16	You shall gather all its plunder into the middle of its street, and shall burn with fire the city, and all of its plunder, to Yahweh your God. It shall be a heap forever. It shall not be built again.
DEU 13:17	Nothing of the devoted thing shall cling to your hand, that Yahweh may turn from the fierceness of his anger, and show you mercy, and have compassion on you, and multiply you, as he has sworn to your fathers;
DEU 13:18	when you listen to Yahweh your God’s voice, to keep all his commandments which I command you today, to do that which is right in Yahweh your God’s eyes.
DEU 14:1	You are the children of Yahweh your God. You shall not cut yourselves, nor make any baldness between your eyes for the dead.
DEU 14:2	For you are a holy people to Yahweh your God, and Yahweh has chosen you to be a people for his own possession, above all peoples who are on the face of the earth.
DEU 14:3	You shall not eat any abominable thing.
DEU 14:4	These are the animals which you may eat: the ox, the sheep, the goat,
DEU 14:5	the deer, the gazelle, the roebuck, the wild goat, the ibex, the antelope, and the chamois.
DEU 14:6	Every animal that parts the hoof, and has the hoof cloven in two and chews the cud, among the animals, that may you eat.
DEU 14:7	Nevertheless these you shall not eat of them that chew the cud, or of those who have the hoof cloven: the camel, the hare, and the rabbit. Because they chew the cud but don’t part the hoof, they are unclean to you.
DEU 14:8	The pig, because it has a split hoof but doesn’t chew the cud, is unclean to you. You shall not eat their meat, and you shall not touch their carcasses.
DEU 14:9	These you may eat of all that are in the waters: whatever has fins and scales may you eat.
DEU 14:10	You shall not eat whatever doesn’t have fins and scales. It is unclean to you.
DEU 14:11	Of all clean birds you may eat.
DEU 14:12	But these are they of which you shall not eat: the eagle, the vulture, the osprey,
DEU 14:13	the red kite, the falcon, the kite after its kind,
DEU 14:14	every raven after its kind,
DEU 14:15	the ostrich, the owl, the seagull, the hawk after its kind,
DEU 14:16	the little owl, the great owl, the horned owl,
DEU 14:17	the pelican, the vulture, the cormorant,
DEU 14:18	the stork, the heron after its kind, the hoopoe, and the bat.
DEU 14:19	All winged creeping things are unclean to you. They shall not be eaten.
DEU 14:20	Of all clean birds you may eat.
DEU 14:21	You shall not eat of anything that dies of itself. You may give it to the foreigner living among you who is within your gates, that he may eat it; or you may sell it to a foreigner; for you are a holy people to Yahweh your God. You shall not boil a young goat in its mother’s milk.
DEU 14:22	You shall surely tithe all the increase of your seed, that which comes out of the field year by year.
DEU 14:23	You shall eat before Yahweh your God, in the place which he chooses, to cause his name to dwell there, the tithe of your grain, of your new wine, and of your oil, and the firstborn of your herd and of your flock; that you may learn to fear Yahweh your God always.
DEU 14:24	If the way is too long for you, so that you are not able to carry it, because the place is too far from you, which Yahweh your God shall choose, to set his name there, when Yahweh your God shall bless you;
DEU 14:25	then you shall turn it into money, and bind up the money in your hand, and shall go to the place which Yahweh your God shall choose.
DEU 14:26	You shall trade the money for whatever your soul desires, for cattle, or for sheep, or for wine, or for strong drink, or for whatever your soul asks of you; and you shall eat there before Yahweh your God, and you shall rejoice, you and your household.
DEU 14:27	You shall not forsake the Levite who is within your gates, for he has no portion nor inheritance with you.
DEU 14:28	At the end of every three years you shall bring all the tithe of your increase in the same year, and shall store it within your gates.
DEU 14:29	The Levite, because he has no portion nor inheritance with you, and the foreigner living among you, and the fatherless, and the widow, who are within your gates, shall come, and shall eat and be satisfied; that Yahweh your God may bless you in all the work of your hand which you do.
DEU 15:1	At the end of every seven years, you shall cancel debts.
DEU 15:2	This is the way it shall be done: every creditor shall release that which he has lent to his neighbor. He shall not require payment from his neighbor and his brother; because Yahweh’s release has been proclaimed.
DEU 15:3	Of a foreigner you may require it; but whatever of yours is with your brother, your hand shall release.
DEU 15:4	However there shall be no poor with you (for Yahweh will surely bless you in the land which Yahweh your God gives you for an inheritance to possess it)
DEU 15:5	if only you diligently listen to Yahweh your God’s voice, to observe to do all this commandment which I command you today.
DEU 15:6	For Yahweh your God will bless you, as he promised you. You will lend to many nations, but you will not borrow. You will rule over many nations, but they will not rule over you.
DEU 15:7	If a poor man, one of your brothers, is with you within any of your gates in your land which Yahweh your God gives you, you shall not harden your heart, nor shut your hand from your poor brother;
DEU 15:8	but you shall surely open your hand to him, and shall surely lend him sufficient for his need, which he lacks.
DEU 15:9	Beware that there not be a wicked thought in your heart, saying, “The seventh year, the year of release, is at hand”; and your eye be evil against your poor brother, and you give him nothing; and he cry to Yahweh against you, and it be sin to you.
DEU 15:10	You shall surely give, and your heart shall not be grieved when you give to him; because that for this thing Yahweh your God will bless you in all your work, and in all that you put your hand to.
DEU 15:11	For the poor will never cease out of the land. Therefore I command you to surely open your hand to your brother, to your needy, and to your poor, in your land.
DEU 15:12	If your brother, a Hebrew man, or a Hebrew woman, is sold to you, and serves you six years; then in the seventh year you shall let him go free from you.
DEU 15:13	When you let him go free from you, you shall not let him go empty.
DEU 15:14	You shall furnish him liberally out of your flock, out of your threshing floor, and out of your wine press. As Yahweh your God has blessed you, you shall give to him.
DEU 15:15	You shall remember that you were a slave in the land of Egypt, and Yahweh your God redeemed you. Therefore I command you this thing today.
DEU 15:16	It shall be, if he tells you, “I will not go out from you,” because he loves you and your house, because he is well with you;
DEU 15:17	then you shall take an awl, and thrust it through his ear to the door, and he shall be your servant forever. Also to your female servant you shall do likewise.
DEU 15:18	It shall not seem hard to you, when you let him go free from you; for he has been double value of a hired hand as he served you six years. Yahweh your God will bless you in all that you do.
DEU 15:19	You shall dedicate all the firstborn males that are born of your herd and of your flock to Yahweh your God. You shall do no work with the firstborn of your herd, nor shear the firstborn of your flock.
DEU 15:20	You shall eat it before Yahweh your God year by year in the place which Yahweh shall choose, you and your household.
DEU 15:21	If it has any defect, is lame or blind, or has any defect whatever, you shall not sacrifice it to Yahweh your God.
DEU 15:22	You shall eat it within your gates. The unclean and the clean shall eat it alike, as the gazelle, and as the deer.
DEU 15:23	Only you shall not eat its blood. You shall pour it out on the ground like water.
DEU 16:1	Observe the month of Abib, and keep the Passover to Yahweh your God; for in the month of Abib Yahweh your God brought you out of Egypt by night.
DEU 16:2	You shall sacrifice the Passover to Yahweh your God, of the flock and the herd, in the place which Yahweh shall choose, to cause his name to dwell there.
DEU 16:3	You shall eat no leavened bread with it. You shall eat unleavened bread with it seven days, even the bread of affliction; for you came out of the land of Egypt in haste; that you may remember the day when you came out of the land of Egypt all the days of your life.
DEU 16:4	No yeast shall be seen with you in all your borders seven days; neither shall any of the meat, which you sacrifice the first day at evening, remain all night until the morning.
DEU 16:5	You may not sacrifice the Passover within any of your gates, which Yahweh your God gives you;
DEU 16:6	but at the place which Yahweh your God shall choose, to cause his name to dwell in, there you shall sacrifice the Passover at evening, at the going down of the sun, at the season that you came out of Egypt.
DEU 16:7	You shall roast and eat it in the place which Yahweh your God chooses. In the morning you shall return to your tents.
DEU 16:8	Six days you shall eat unleavened bread. On the seventh day shall be a solemn assembly to Yahweh your God. You shall do no work.
DEU 16:9	You shall count for yourselves seven weeks. From the time you begin to put the sickle to the standing grain you shall begin to count seven weeks.
DEU 16:10	You shall keep the feast of weeks to Yahweh your God with a tribute of a freewill offering of your hand, which you shall give, according as Yahweh your God blesses you.
DEU 16:11	You shall rejoice before Yahweh your God: you, your son, your daughter, your male servant, your female servant, the Levite who is within your gates, the foreigner, the fatherless, and the widow, who are among you, in the place which Yahweh your God shall choose to cause his name to dwell there.
DEU 16:12	You shall remember that you were a slave in Egypt. You shall observe and do these statutes.
DEU 16:13	You shall keep the feast of tents seven days, after you have gathered in from your threshing floor and from your wine press.
DEU 16:14	You shall rejoice in your feast, you, your son, your daughter, your male servant, your female servant, the Levite, the foreigner, the fatherless, and the widow, who are within your gates.
DEU 16:15	You shall keep a feast to Yahweh your God seven days in the place which Yahweh chooses; because Yahweh your God will bless you in all your increase, and in all the work of your hands, and you shall be altogether joyful.
DEU 16:16	Three times in a year all of your males shall appear before Yahweh your God in the place which he chooses: in the feast of unleavened bread, in the feast of weeks, and in the feast of tents. They shall not appear before Yahweh empty.
DEU 16:17	Every man shall give as he is able, according to Yahweh your God’s blessing which he has given you.
DEU 16:18	You shall make judges and officers in all your gates, which Yahweh your God gives you, according to your tribes; and they shall judge the people with righteous judgment.
DEU 16:19	You shall not pervert justice. You shall not show partiality. You shall not take a bribe, for a bribe blinds the eyes of the wise, and perverts the words of the righteous.
DEU 16:20	You shall follow that which is altogether just, that you may live, and inherit the land which Yahweh your God gives you.
DEU 16:21	You shall not plant for yourselves an Asherah of any kind of tree beside Yahweh your God’s altar, which you shall make for yourselves.
DEU 16:22	Neither shall you set yourself up a sacred stone which Yahweh your God hates.
DEU 17:1	You shall not sacrifice to Yahweh your God an ox, or a sheep, in which is a defect, or anything evil; for that is an abomination to Yahweh your God.
DEU 17:2	If there is found among you, within any of your gates which Yahweh your God gives you, a man or woman who does that which is evil in Yahweh your God’s sight, in transgressing his covenant,
DEU 17:3	and has gone and served other gods, and worshiped them, or the sun, or the moon, or any of the stars of the sky, which I have not commanded;
DEU 17:4	and you are told, and you have heard of it, then you shall inquire diligently. Behold, if it is true, and the thing certain, that such abomination is done in Israel,
DEU 17:5	then you shall bring out that man or that woman, who has done this evil thing, to your gates, even that same man or woman; and you shall stone them to death with stones.
DEU 17:6	At the mouth of two witnesses, or three witnesses, he who is to die shall be put to death. At the mouth of one witness he shall not be put to death.
DEU 17:7	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall remove the evil from among you.
DEU 17:8	If there arises a matter too hard for you in judgment, between blood and blood, between plea and plea, and between stroke and stroke, being matters of controversy within your gates; then you shall arise, and go up to the place which Yahweh your God chooses.
DEU 17:9	You shall come to the priests who are Levites, and to the judge who shall be in those days. You shall inquire, and they shall give you the verdict.
DEU 17:10	You shall do according to the decisions of the verdict which they shall give you from that place which Yahweh chooses. You shall observe to do according to all that they shall teach you:
DEU 17:11	according to the decisions of the law which they shall teach you, and according to the judgment which they shall tell you, you shall do. You shall not turn away from the sentence which they shall show you, to the right hand, nor to the left.
DEU 17:12	The man who does presumptuously, in not listening to the priest who stands to minister there before Yahweh your God, or to the judge, even that man shall die. You shall put away the evil from Israel.
DEU 17:13	All the people shall hear, and fear, and do no more presumptuously.
DEU 17:14	When you have come to the land which Yahweh your God gives you, and possess it, and dwell in it, and say, “I will set a king over me, like all the nations that are around me”;
DEU 17:15	you shall surely set him king over yourselves, whom Yahweh your God chooses. You shall set as king over you one from among your brothers. You may not put a foreigner over you, who is not your brother.
DEU 17:16	Only he shall not multiply horses to himself, nor cause the people to return to Egypt, to the end that he may multiply horses; because Yahweh has said to you, “You shall not go back that way again.”
DEU 17:17	He shall not multiply wives to himself, that his heart not turn away. He shall not greatly multiply to himself silver and gold.
DEU 17:18	It shall be, when he sits on the throne of his kingdom, that he shall write himself a copy of this law in a book, out of that which is before the priests the Levites.
DEU 17:19	It shall be with him, and he shall read from it all the days of his life; that he may learn to fear Yahweh his God, to keep all the words of this law and these statutes, to do them;
DEU 17:20	that his heart not be lifted up above his brothers, and that he not turn away from the commandment, to the right hand, or to the left; to the end that he may prolong his days in his kingdom, he and his children, in the middle of Israel.
DEU 18:1	The priests the Levites, all the tribe of Levi, shall have no portion nor inheritance with Israel. They shall eat the offerings of Yahweh made by fire and his portion.
DEU 18:2	They shall have no inheritance among their brothers. Yahweh is their inheritance, as he has spoken to them.
DEU 18:3	This shall be the priests’ due from the people, from those who offer a sacrifice, whether it be ox or sheep, that they shall give to the priest the shoulder, the two cheeks, and the inner parts.
DEU 18:4	The first fruits of your grain, of your new wine, and of your oil, and the first of the fleece of your sheep, you shall give him.
DEU 18:5	For Yahweh your God has chosen him out of all your tribes, to stand to minister in Yahweh’s name, him and his sons for ever.
DEU 18:6	If a Levite comes from any of your gates out of all Israel, where he lives as a foreigner, and comes with all the desire of his soul to the place which Yahweh shall choose;
DEU 18:7	then he shall minister in the name of Yahweh his God, as all his brothers the Levites do, who stand there before Yahweh.
DEU 18:8	They shall have like portions to eat, in addition to that which comes from the sale of his family possessions.
DEU 18:9	When you have come into the land which Yahweh your God gives you, you shall not learn to imitate the abominations of those nations.
DEU 18:10	There shall not be found with you anyone who makes his son or his daughter to pass through the fire, one who uses divination, one who practices sorcery, or an enchanter, or a sorcerer,
DEU 18:11	or a charmer, or a consulter with a familiar spirit, or a wizard, or a necromancer.
DEU 18:12	For whoever does these things is an abomination to Yahweh. Because of these abominations, Yahweh your God drives them out from before you.
DEU 18:13	You shall be perfect with Yahweh your God.
DEU 18:14	For these nations that you shall dispossess listen to those who practice sorcery and to diviners; but as for you, Yahweh your God has not allowed you so to do.
DEU 18:15	Yahweh your God will raise up to you a prophet from among you, of your brothers, like me. You shall listen to him.
DEU 18:16	This is according to all that you desired of Yahweh your God in Horeb in the day of the assembly, saying, “Let me not hear again Yahweh my God’s voice, neither let me see this great fire any more, that I not die.”
DEU 18:17	Yahweh said to me, “They have well said that which they have spoken.
DEU 18:18	I will raise them up a prophet from among their brothers, like you. I will put my words in his mouth, and he shall speak to them all that I shall command him.
DEU 18:19	It shall happen, that whoever will not listen to my words which he shall speak in my name, I will require it of him.
DEU 18:20	But the prophet who speaks a word presumptuously in my name, which I have not commanded him to speak, or who speaks in the name of other gods, that same prophet shall die.”
DEU 18:21	You may say in your heart, “How shall we know the word which Yahweh has not spoken?”
DEU 18:22	When a prophet speaks in Yahweh’s name, if the thing doesn’t follow, nor happen, that is the thing which Yahweh has not spoken. The prophet has spoken it presumptuously. You shall not be afraid of him.
DEU 19:1	When Yahweh your God cuts off the nations whose land Yahweh your God gives you, and you succeed them and dwell in their cities and in their houses;
DEU 19:2	you shall set apart three cities for yourselves in the middle of your land, which Yahweh your God gives you to possess it.
DEU 19:3	You shall prepare the way, and divide the borders of your land which Yahweh your God causes you to inherit into three parts, that every man slayer may flee there.
DEU 19:4	This is the case of the man slayer who shall flee there and live. Whoever kills his neighbor unawares, and didn’t hate him in time past;
DEU 19:5	as when a man goes into the forest with his neighbor to chop wood and his hand swings the ax to cut down the tree, and the head slips from the handle and hits his neighbor so that he dies, he shall flee to one of these cities and live.
DEU 19:6	Otherwise, the avenger of blood might pursue the man slayer while his heart is hot and overtake him, because the way is long, and strike him mortally; even though he was not worthy of death, because he didn’t hate him in time past.
DEU 19:7	Therefore I command you to set apart three cities for yourselves.
DEU 19:8	If Yahweh your God enlarges your border, as he has sworn to your fathers, and gives you all the land which he promised to give to your fathers;
DEU 19:9	if you keep all this commandment to do it, which I command you today, to love Yahweh your God, and to walk ever in his ways; then you shall add three cities more for yourselves, besides these three.
DEU 19:10	This is so that innocent blood will not be shed in the middle of your land which Yahweh your God gives you for an inheritance, leaving blood guilt on you.
DEU 19:11	But if any man hates his neighbor, lies in wait for him, rises up against him, strikes him mortally so that he dies, and he flees into one of these cities;
DEU 19:12	then the elders of his city shall send and bring him there, and deliver him into the hand of the avenger of blood, that he may die.
DEU 19:13	Your eye shall not pity him, but you shall purge the innocent blood from Israel that it may go well with you.
DEU 19:14	You shall not remove your neighbor’s landmark, which they of old time have set, in your inheritance which you shall inherit, in the land that Yahweh your God gives you to possess.
DEU 19:15	One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sins. At the mouth of two witnesses, or at the mouth of three witnesses, shall a matter be established.
DEU 19:16	If an unrighteous witness rises up against any man to testify against him of wrongdoing,
DEU 19:17	then both the men, between whom the controversy is, shall stand before Yahweh, before the priests and the judges who shall be in those days;
DEU 19:18	and the judges shall make diligent inquisition: and behold, if the witness is a false witness, and has testified falsely against his brother;
DEU 19:19	then you shall do to him as he had thought to do to his brother. So you shall remove the evil from among you.
DEU 19:20	Those who remain shall hear, and fear, and will never again commit any such evil among you.
DEU 19:21	Your eyes shall not pity: life for life, eye for eye, tooth for tooth, hand for hand, foot for foot.
DEU 20:1	When you go out to battle against your enemies, and see horses, chariots, and a people more than you, you shall not be afraid of them; for Yahweh your God is with you, who brought you up out of the land of Egypt.
DEU 20:2	It shall be, when you draw near to the battle, that the priest shall approach and speak to the people,
DEU 20:3	and shall tell them, “Hear, Israel, you draw near today to battle against your enemies. Don’t let your heart faint! Don’t be afraid, nor tremble, neither be scared of them;
DEU 20:4	for Yahweh your God is he who goes with you, to fight for you against your enemies, to save you.”
DEU 20:5	The officers shall speak to the people, saying, “What man is there who has built a new house, and has not dedicated it? Let him go and return to his house, lest he die in the battle, and another man dedicate it.
DEU 20:6	What man is there who has planted a vineyard, and has not used its fruit? Let him go and return to his house, lest he die in the battle, and another man use its fruit.
DEU 20:7	What man is there who has pledged to be married a wife, and has not taken her? Let him go and return to his house, lest he die in the battle, and another man take her.”
DEU 20:8	The officers shall speak further to the people, and they shall say, “What man is there who is fearful and faint-hearted? Let him go and return to his house, lest his brother’s heart melt as his heart.”
DEU 20:9	It shall be, when the officers have finished speaking to the people, that they shall appoint captains of armies at the head of the people.
DEU 20:10	When you draw near to a city to fight against it, then proclaim peace to it.
DEU 20:11	It shall be, if it makes you answer of peace, and opens to you, then it shall be, that all the people who are found therein shall become forced laborers to you, and shall serve you.
DEU 20:12	If it will make no peace with you, but will make war against you, then you shall besiege it.
DEU 20:13	When Yahweh your God delivers it into your hand, you shall strike every male of it with the edge of the sword;
DEU 20:14	but the women, the little ones, the livestock, and all that is in the city, even all its plunder, you shall take for plunder for yourself. You may use the plunder of your enemies, which Yahweh your God has given you.
DEU 20:15	Thus you shall do to all the cities which are very far off from you, which are not of the cities of these nations.
DEU 20:16	But of the cities of these peoples, that Yahweh your God gives you for an inheritance, you shall save alive nothing that breathes;
DEU 20:17	but you shall utterly destroy them: the Hittite, the Amorite, the Canaanite, the Perizzite, the Hivite, and the Jebusite; as Yahweh your God has commanded you;
DEU 20:18	that they not teach you to follow all their abominations, which they have done to their gods; so would you sin against Yahweh your God.
DEU 20:19	When you shall besiege a city a long time, in making war against it to take it, you shall not destroy its trees by wielding an ax against them; for you may eat of them. You shall not cut them down; for is the tree of the field man, that it should be besieged by you?
DEU 20:20	Only the trees that you know are not trees for food, you shall destroy and cut them down. You shall build bulwarks against the city that makes war with you, until it falls.
DEU 21:1	If someone is found slain in the land which Yahweh your God gives you to possess, lying in the field, and it isn’t known who has struck him;
DEU 21:2	then your elders and your judges shall come out, and they shall measure to the cities which are around him who is slain.
DEU 21:3	It shall be that the elders of the city which is nearest to the slain man shall take a heifer of the herd, which hasn’t been worked with, and which has not drawn in the yoke.
DEU 21:4	The elders of that city shall bring the heifer down to a valley with running water, which is neither plowed nor sown, and shall break the heifer’s neck there in the valley.
DEU 21:5	The priests the sons of Levi shall come near; for them Yahweh your God has chosen to minister to him, and to bless in Yahweh’s name; and according to their word shall every controversy and every assault be decided.
DEU 21:6	All the elders of that city, who are nearest to the slain man, shall wash their hands over the heifer whose neck was broken in the valley.
DEU 21:7	They shall answer and say, “Our hands have not shed this blood, neither have our eyes seen it.
DEU 21:8	Forgive, Yahweh, your people Israel, whom you have redeemed, and don’t allow innocent blood among your people Israel.” The blood shall be forgiven them.
DEU 21:9	So you shall put away the innocent blood from among you, when you shall do that which is right in Yahweh’s eyes.
DEU 21:10	When you go out to battle against your enemies, and Yahweh your God delivers them into your hands, and you carry them away captive,
DEU 21:11	and see among the captives a beautiful woman, and you have a desire to her, and desire to take her as your wife;
DEU 21:12	then you shall bring her home to your house. She shall shave her head and trim her nails.
DEU 21:13	She shall take off the clothing of her captivity, and shall remain in your house, and bewail her father and her mother a full month. After that you shall go in to her and be her husband, and she shall be your wife.
DEU 21:14	It shall be, if you have no delight in her, then you shall let her go where she desires; but you shall not sell her at all for money. You shall not deal with her as a slave, because you have humbled her.
DEU 21:15	If a man has two wives, the one beloved, and the other hated, and they have borne him children, both the beloved and the hated; and if the firstborn son is hers who was hated;
DEU 21:16	then it shall be, in the day that he causes his sons to inherit that which he has, that he may not give the son of the beloved the rights of the firstborn before the son of the hated, who is the firstborn;
DEU 21:17	but he shall acknowledge the firstborn, the son of the hated, by giving him a double portion of all that he has; for he is the beginning of his strength. The right of the firstborn is his.
DEU 21:18	If a man has a stubborn and rebellious son, who will not obey the voice of his father or the voice of his mother, and though they chasten him, will not listen to them;
DEU 21:19	then his father and his mother shall take hold of him and bring him out to the elders of his city, and to the gate of his place.
DEU 21:20	They shall tell the elders of his city, “This our son is stubborn and rebellious. He will not obey our voice. He is a glutton and a drunkard.”
DEU 21:21	All the men of his city shall stone him to death with stones. So you shall remove the evil from among you. All Israel shall hear, and fear.
DEU 21:22	If a man has committed a sin worthy of death, and he is put to death, and you hang him on a tree;
DEU 21:23	his body shall not remain all night on the tree, but you shall surely bury him the same day; for he who is hanged is accursed of God; that you don’t defile your land which Yahweh your God gives you for an inheritance.
DEU 22:1	You shall not see your brother’s ox or his sheep go astray, and hide yourself from them. You shall surely bring them again to your brother.
DEU 22:2	If your brother isn’t near to you, or if you don’t know him, then you shall bring it home to your house, and it shall be with you until your brother comes looking for it, and you shall restore it to him.
DEU 22:3	So you shall do with his donkey. So you shall do with his garment. So you shall do with every lost thing of your brother’s, which he has lost, and you have found. You may not hide yourself.
DEU 22:4	You shall not see your brother’s donkey or his ox fallen down by the way, and hide yourself from them. You shall surely help him to lift them up again.
DEU 22:5	A woman shall not wear men’s clothing, neither shall a man put on women’s clothing; for whoever does these things is an abomination to Yahweh your God.
DEU 22:6	If you come across a bird’s nest on the way, in any tree or on the ground, with young ones or eggs, and the hen sitting on the young, or on the eggs, you shall not take the hen with the young.
DEU 22:7	You shall surely let the hen go, but the young you may take for yourself; that it may be well with you, and that you may prolong your days.
DEU 22:8	When you build a new house, then you shall make a railing around your roof, so that you don’t bring blood on your house if anyone falls from there.
DEU 22:9	You shall not sow your vineyard with two kinds of seed, lest all the fruit be defiled, the seed which you have sown, and the increase of the vineyard.
DEU 22:10	You shall not plow with an ox and a donkey together.
DEU 22:11	You shall not wear clothes of wool and linen woven together.
DEU 22:12	You shall make yourselves fringes on the four corners of your cloak with which you cover yourself.
DEU 22:13	If any man takes a wife, and goes in to her, hates her,
DEU 22:14	accuses her of shameful things, and gives her a bad name, and says, “I took this woman, and when I came near to her, I didn’t find in her the tokens of virginity”;
DEU 22:15	then the young lady’s father and mother shall take and bring the tokens of the young lady’s virginity to the elders of the city in the gate.
DEU 22:16	The young lady’s father shall tell the elders, “I gave my daughter to this man as his wife, and he hates her.
DEU 22:17	Behold, he has accused her of shameful things, saying, ‘I didn’t find in your daughter the tokens of virginity;’ and yet these are the tokens of my daughter’s virginity.” They shall spread the cloth before the elders of the city.
DEU 22:18	The elders of that city shall take the man and chastise him.
DEU 22:19	They shall fine him one hundred shekels of silver, and give them to the father of the young lady, because he has given a bad name to a virgin of Israel. She shall be his wife. He may not put her away all his days.
DEU 22:20	But if this thing is true, that the tokens of virginity were not found in the young lady;
DEU 22:21	then they shall bring out the young lady to the door of her father’s house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father’s house. So you shall remove the evil from among you.
DEU 22:22	If a man is found lying with a woman married to a husband, then they shall both die, the man who lay with the woman and the woman. So you shall remove the evil from Israel.
DEU 22:23	If there is a young lady who is a virgin pledged to be married to a husband, and a man finds her in the city, and lies with her;
DEU 22:24	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn’t cry, being in the city; and the man, because he has humbled his neighbor’s wife. So you shall remove the evil from among you.
DEU 22:25	But if the man finds the lady who is pledged to be married in the field, and the man forces her, and lies with her; then only the man who lay with her shall die;
DEU 22:26	but to the lady you shall do nothing. There is in the lady no sin worthy of death; for as when a man rises against his neighbor, and kills him, even so is this matter;
DEU 22:27	for he found her in the field, the pledged to be married lady cried, and there was no one to save her.
DEU 22:28	If a man finds a lady who is a virgin, who is not pledged to be married, grabs her, and lies with her, and they are found;
DEU 22:29	then the man who lay with her shall give to the lady’s father fifty shekels of silver. She shall be his wife, because he has humbled her. He may not put her away all his days.
DEU 22:30	A man shall not take his father’s wife, and shall not uncover his father’s skirt.
DEU 24:1	When a man takes a wife and marries her, then it shall be, if she finds no favor in his eyes, because he has found some unseemly thing in her, that he shall write her a bill of divorce, and put it in her hand, and send her out of his house.
DEU 24:2	When she has departed out of his house, she may go and be another man’s wife.
DEU 24:3	If the latter husband hates her, and write her a bill of divorce, and puts it in her hand, and sends her out of his house; or if the latter husband die, who took her to be his wife;
DEU 24:4	her former husband, who sent her away, may not take her again to be his wife, after that she is defiled; for that is abomination before Yahweh. You shall not cause the land to sin, which Yahweh your God gives you for an inheritance.
DEU 24:5	When a man takes a new wife, he shall not go out in the army, neither shall he be assigned any business. He shall be free at home one year, and shall cheer his wife whom he has taken.
DEU 24:6	No man shall take the mill or the upper millstone as a pledge; for he takes a life in pledge.
DEU 24:7	If a man is found stealing any of his brothers of the children of Israel, and he deals with him as a slave, or sells him; then that thief shall die. So you shall remove the evil from among you.
DEU 24:8	Be careful in the plague of leprosy, that you observe diligently, and do according to all that the priests the Levites teach you. As I commanded them, so you shall observe to do.
DEU 24:9	Remember what Yahweh your God did to Miriam, by the way as you came out of Egypt.
DEU 24:10	When you lend your neighbor any kind of loan, you shall not go into his house to get his pledge.
DEU 24:11	You shall stand outside, and the man to whom you lend shall bring the pledge outside to you.
DEU 24:12	If he is a poor man, you shall not sleep with his pledge.
DEU 24:13	You shall surely restore to him the pledge when the sun goes down, that he may sleep in his garment, and bless you. It shall be righteousness to you before Yahweh your God.
DEU 24:14	You shall not oppress a hired servant who is poor and needy, whether he is one of your brothers, or one of the foreigners who are in your land within your gates.
DEU 24:15	In his day you shall give him his hire, neither shall the sun go down on it; for he is poor, and sets his heart on it; lest he cry against you to Yahweh, and it be sin to you.
DEU 24:16	The fathers shall not be put to death for the children, neither shall the children be put to death for the fathers. Every man shall be put to death for his own sin.
DEU 24:17	You shall not deprive the foreigner or the fatherless of justice, nor take a widow’s clothing in pledge;
